LevelofGovernment,StateorUS,GovernmentFunction,Data1,Data2,Data3,Data4,StateAbv,StateCode
State Only,Alaska,Solid Waste Management,0,0,0,0,AK,2
State Only,Alaska,Sewerage,0,0,0,0,AK,2
State Only,Alaska,Parks and Recreation,116,0.157385021,52503.10345,6090360,AK,2
State Only,Alaska,Housing and Community Development,0,0,0,0,AK,2
State Only,Alaska,Natural Resources,2409,3.268452715,68092.25903,164034252,AK,2
State Only,Alaska,Water Supply,0,0,0,0,AK,2
State Only,Alaska,Electric Power,0,0,0,0,AK,2
State Only,Alaska,Gas Supply,0,0,0,0,AK,2
State Only,Alaska,Transit,0,0,0,0,AK,2
State Only,Alaska,Education Total,8992,12.20005264,58383.34831,524983068,AK,2
State Only,Alaska,Elementary & Secondary Education Total,3103,4.210049305,48962.98937,151932156,AK,2
State Only,Alaska,Elem & Sec Instructional Employees,2209,2.997099231,52716.67361,116451132,AK,2
State Only,Alaska,Elem & Sec Other Employees,894,1.212950074,39687.94631,35481024,AK,2
State Only,Alaska,Higher Education Total,5614,7.616892297,63101.16423,354249936,AK,2
State Only,Alaska,Higher Ed Instructional Employees,1592,2.159973733,91480.81658,145637460,AK,2
State Only,Alaska,Higher Ed Other Employees,4022,5.456918564,51867.84585,208612476,AK,2
State Only,Alaska,Other Education,275,0.373111041,68367.18545,18800976,AK,2
State Only,Alaska,Local Libraries,0,0,0,0,AK,2
State Only,Alaska,State Liquor Stores,0,0,0,0,AK,2
State Only,Alaska,All Other and Unallocable,2793,3.789451405,72206.83996,201673704,AK,2
State Only,Arizona,Total,78689,11.69438812,52733.50247,4149546576,AZ,4
State Only,Arizona,Financial Administration,2473,0.367525599,46544.71977,115105092,AZ,4
State Only,Arizona,Other Government Administration,779,0.115771307,49773.98203,38773932,AZ,4
State Only,Arizona,Judicial and Legal,2131,0.316699171,57626.16237,122801352,AZ,4
State Only,Arizona,Police Protection Total,1928,0.286530269,60426.64108,116502564,AZ,4
State Only,Arizona,Police Officers Only,1141,0.16957004,65885.10079,75174900,AZ,4
State Only,Arizona,Other Police Employees,787,0.116960229,52512.91487,41327664,AZ,4
State Only,Arizona,Fire Protection Total,0,0,0,0,AZ,4
State Only,Arizona,Firefighters Only,0,0,0,0,AZ,4
State Only,Arizona,Other Fire Employees,0,0,0,0,AZ,4
State Only,Arizona,Corrections,9586,1.424626117,43493.12497,416925096,AZ,4
State Only,Arizona,Highways,2986,0.44376524,52101.01808,155573640,AZ,4
State Only,Arizona,Air Transportation,0,0,0,0,AZ,4
State Only,Arizona,Water Transport and Terminals,0,0,0,0,AZ,4
State Only,Arizona,Public Welfare,5715,0.849336351,40135.43307,229374000,AZ,4
State Only,Arizona,Health,2361,0.350880687,50978.97332,120361356,AZ,4
State Only,Arizona,Hospitals,7046,1.047143295,56746.03633,399832572,AZ,4
State Only,Arizona,Social Insurance Administration,1946,0.289205344,35412.31449,68912364,AZ,4
State Only,Arizona,Solid Waste Management,0,0,0,0,AZ,4
State Only,Arizona,Sewerage,0,0,0,0,AZ,4
State Only,Arizona,Parks and Recreation,352,0.05231258,31269.13636,11006736,AZ,4
State Only,Arizona,Housing and Community Development,0,0,0,0,AZ,4
State Only,Arizona,Natural Resources,1526,0.226786924,49820.18611,76025604,AZ,4
State Only,Arizona,Water Supply,0,0,0,0,AZ,4
State Only,Arizona,Electric Power,6,0.000891692,97176,583056,AZ,4
State Only,Arizona,Gas Supply,0,0,0,0,AZ,4
State Only,Arizona,Transit,0,0,0,0,AZ,4
State Only,Arizona,Education Total,36613,5.441251412,57585.46615,2108376672,AZ,4
State Only,Arizona,Elementary & Secondary Education Total,0,0,0,0,AZ,4
State Only,Arizona,Elem & Sec Instructional Employees,0,0,0,0,AZ,4
State Only,Arizona,Elem & Sec Other Employees,0,0,0,0,AZ,4
State Only,Arizona,Higher Education Total,33651,5.001052939,58811.70045,1979072532,AZ,4
State Only,Arizona,Higher Ed Instructional Employees,11262,1.673705334,73817.01225,831327192,AZ,4
State Only,Arizona,Higher Ed Other Employees,22389,3.327347605,51263.80544,1147745340,AZ,4
State Only,Arizona,Other Education,2962,0.440198473,43654.33491,129304140,AZ,4
State Only,Arizona,Local Libraries,0,0,0,0,AZ,4
State Only,Arizona,State Liquor Stores,0,0,0,0,AZ,4
State Only,Arizona,All Other and Unallocable,3241,0.481662137,52265.51682,169392540,AZ,4
State Only,Arkansas,Total,62079,20.92431834,47389.82187,2941912752,AR,5
State Only,Arkansas,Financial Administration,1973,0.665018446,44446.68626,87693312,AR,5
State Only,Arkansas,Other Government Administration,775,0.261221133,53032.95484,41100540,AR,5
State Only,Arkansas,Judicial and Legal,1385,0.466827444,47672.43032,66026316,AR,5
State Only,Arkansas,Police Protection Total,1242,0.418627932,45383.90338,56366808,AR,5
State Only,Arkansas,Police Officers Only,557,0.187742156,53506.34111,29803032,AR,5
State Only,Arkansas,Other Police Employees,685,0.230885776,38779.23504,26563776,AR,5
State Only,Arkansas,Fire Protection Total,0,0,0,0,AR,5
State Only,Arkansas,Firefighters Only,0,0,0,0,AR,5
State Only,Arkansas,Other Fire Employees,0,0,0,0,AR,5
State Only,Arkansas,Corrections,5557,1.873039788,38004.49667,211190988,AR,5
State Only,Arkansas,Highways,3373,1.136901783,47560.98784,160423212,AR,5
State Only,Arkansas,Air Transportation,0,0,0,0,AR,5
State Only,Arkansas,Water Transport and Terminals,0,0,0,0,AR,5
State Only,Arkansas,Public Welfare,3927,1.32363276,37874.92437,148734828,AR,5
State Only,Arkansas,Health,3747,1.262962045,45791.97758,171582540,AR,5
State Only,Arkansas,Hospitals,6763,2.279533577,43937.35679,297148344,AR,5
State Only,Arkansas,Social Insurance Administration,1285,0.433121491,44617.30739,57333240,AR,5
State Only,Arkansas,Solid Waste Management,0,0,0,0,AR,5
State Only,Arkansas,Sewerage,0,0,0,0,AR,5
State Only,Arkansas,Parks and Recreation,782,0.26358055,32735.10997,25598856,AR,5
State Only,Arkansas,Housing and Community Development,0,0,0,0,AR,5
State Only,Arkansas,Natural Resources,1953,0.658277255,42290.75883,82593852,AR,5
State Only,Arkansas,Water Supply,0,0,0,0,AR,5
State Only,Arkansas,Electric Power,0,0,0,0,AR,5
State Only,Arkansas,Gas Supply,0,0,0,0,AR,5
State Only,Arkansas,Transit,0,0,0,0,AR,5
State Only,Arkansas,Education Total,26907,9.069260677,52891.69138,1423156740,AR,5
State Only,Arkansas,Elementary & Secondary Education Total,0,0,0,0,AR,5
State Only,Arkansas,Elem & Sec Instructional Employees,0,0,0,0,AR,5
State Only,Arkansas,Elem & Sec Other Employees,0,0,0,0,AR,5
State Only,Arkansas,Higher Education Total,25531,8.605466768,53279.55113,1360280220,AR,5
State Only,Arkansas,Higher Ed Instructional Employees,8511,2.868713629,78477.26331,667919988,AR,5
State Only,Arkansas,Higher Ed Other Employees,17020,5.736753139,40679.21457,692360232,AR,5
State Only,Arkansas,Other Education,1376,0.463793908,45695.14535,62876520,AR,5
State Only,Arkansas,Local Libraries,0,0,0,0,AR,5
State Only,Arkansas,State Liquor Stores,0,0,0,0,AR,5
State Only,Arkansas,All Other and Unallocable,2410,0.812313459,46872.68714,112963176,AR,5
State Only,California,Total,406842,10.48770231,76739.86432,31220999880,CA,6
State Only,California,Financial Administration,26100,0.672814091,59209.37793,1545364764,CA,6
State Only,California,Other Government Administration,3975,0.102468813,67783.22415,269438316,CA,6
State Only,California,Judicial and Legal,6355,0.163821209,79953.33564,508103448,CA,6
State Only,California,Police Protection Total,11347,0.29250657,94175.63515,1068610932,CA,6
State Only,California,Police Officers Only,7771,0.200323307,113965.694,885627408,CA,6
State Only,California,Other Police Employees,3576,0.092183264,51169.88926,182983524,CA,6
State Only,California,Fire Protection Total,0,0,0,0,CA,6
State Only,California,Firefighters Only,0,0,0,0,CA,6
State Only,California,Other Fire Employees,0,0,0,0,CA,6
State Only,California,Corrections,53397,1.376484828,88533.04208,4727398848,CA,6
State Only,California,Highways,19680,0.507317291,91707.44817,1804802580,CA,6
State Only,California,Air Transportation,0,0,0,0,CA,6
State Only,California,Water Transport and Terminals,0,0,0,0,CA,6
State Only,California,Public Welfare,3653,0.094168194,59092.36573,215864412,CA,6
State Only,California,Health,13823,0.356333685,74913.051,1035523104,CA,6
State Only,California,Hospitals,42416,1.093413122,94634.83478,4014031152,CA,6
State Only,California,Social Insurance Administration,13894,0.358163946,61572.69613,855491040,CA,6
State Only,California,Solid Waste Management,650,0.016755906,67404.31385,43812804,CA,6
State Only,California,Sewerage,0,0,0,0,CA,6
State Only,California,Parks and Recreation,3280,0.084552882,51693.00732,169553064,CA,6
State Only,California,Housing and Community Development,0,0,0,0,CA,6
State Only,California,Natural Resources,15619,0.402631543,70927.71445,1107819972,CA,6
State Only,California,Water Supply,0,0,0,0,CA,6
State Only,California,Electric Power,0,0,0,0,CA,6
State Only,California,Gas Supply,0,0,0,0,CA,6
State Only,California,Transit,0,0,0,0,CA,6
State Only,California,Education Total,170869,4.40471536,72017.21522,12305509548,CA,6
State Only,California,Elementary & Secondary Education Total,0,0,0,0,CA,6
State Only,California,Elem & Sec Instructional Employees,0,0,0,0,CA,6
State Only,California,Elem & Sec Other Employees,0,0,0,0,CA,6
State Only,California,Higher Education Total,166584,4.294255268,72307.90751,12045340464,CA,6
State Only,California,Higher Ed Instructional Employees,36223,0.933768,97813.09522,3543083748,CA,6
State Only,California,Higher Ed Other Employees,130361,3.360487268,65220.86142,8502256716,CA,6
State Only,California,Other Education,4285,0.110460091,60716.23897,260169084,CA,6
State Only,California,Local Libraries,0,0,0,0,CA,6
State Only,California,State Liquor Stores,0,0,0,0,CA,6
State Only,California,All Other and Unallocable,21784,0.561554872,71138.26184,1549675896,CA,6
State Only,Colorado,Total,79518,14.84766939,59373.15612,4721234628,CO,8
State Only,Colorado,Financial Administration,1812,0.338338199,61059.77483,110640312,CO,8
State Only,Colorado,Other Government Administration,574,0.107177774,49791.36585,28580244,CO,8
State Only,Colorado,Judicial and Legal,4810,0.898127339,62634.30686,301271016,CO,8
State Only,Colorado,Police Protection Total,1226,0.228919775,66117.18108,81059664,CO,8
State Only,Colorado,Police Officers Only,754,0.140787529,72775.25729,54872544,CO,8
State Only,Colorado,Other Police Employees,472,0.088132246,55481.18644,26187120,CO,8
State Only,Colorado,Fire Protection Total,0,0,0,0,CO,8
State Only,Colorado,Firefighters Only,0,0,0,0,CO,8
State Only,Colorado,Other Fire Employees,0,0,0,0,CO,8
State Only,Colorado,Corrections,7139,1.333000223,51028.14008,364289892,CO,8
State Only,Colorado,Highways,3109,0.580515155,56232.53265,174826944,CO,8
State Only,Colorado,Air Transportation,0,0,0,0,CO,8
State Only,Colorado,Water Transport and Terminals,0,0,0,0,CO,8
State Only,Colorado,Public Welfare,2404,0.448876949,51880.52246,124720776,CO,8
State Only,Colorado,Health,1290,0.24086991,68105.36744,87855924,CO,8
State Only,Colorado,Hospitals,5791,1.081300503,51976.00553,300993048,CO,8
State Only,Colorado,Social Insurance Administration,1167,0.217903244,53750.19023,62726472,CO,8
State Only,Colorado,Solid Waste Management,0,0,0,0,CO,8
State Only,Colorado,Sewerage,0,0,0,0,CO,8
State Only,Colorado,Parks and Recreation,987,0.184293489,57158.74772,56415684,CO,8
State Only,Colorado,Housing and Community Development,0,0,0,0,CO,8
State Only,Colorado,Natural Resources,1094,0.204272621,62425.00914,68292960,CO,8
State Only,Colorado,Water Supply,0,0,0,0,CO,8
State Only,Colorado,Electric Power,0,0,0,0,CO,8
State Only,Colorado,Gas Supply,0,0,0,0,CO,8
State Only,Colorado,Transit,0,0,0,0,CO,8
State Only,Colorado,Education Total,45733,8.539305115,61352.9691,2805855336,CO,8
State Only,Colorado,Elementary & Secondary Education Total,0,0,0,0,CO,8
State Only,Colorado,Elem & Sec Instructional Employees,0,0,0,0,CO,8
State Only,Colorado,Elem & Sec Other Employees,0,0,0,0,CO,8
State Only,Colorado,Higher Education Total,44100,8.234389949,61620.97605,2717485044,CO,8
State Only,Colorado,Higher Ed Instructional Employees,18565,3.466472776,76718.58486,1424280528,CO,8
State Only,Colorado,Higher Ed Other Employees,25535,4.767917174,50644.39068,1293204516,CO,8
State Only,Colorado,Other Education,1633,0.304915165,54115.30435,88370292,CO,8
State Only,Colorado,Local Libraries,0,0,0,0,CO,8
State Only,Colorado,State Liquor Stores,0,0,0,0,CO,8
State Only,Colorado,All Other and Unallocable,2382,0.44476909,64528.27708,153706356,CO,8
State Only,Connecticut,Total,63013,17.52911597,74563.59291,4698475680,CT,9
State Only,Connecticut,Financial Administration,2286,0.635925271,73339.33858,167653728,CT,9
State Only,Connecticut,Other Government Administration,1629,0.453159347,75162.32044,122439420,CT,9
State Only,Connecticut,Judicial and Legal,6179,1.718889874,83080.43373,513354000,CT,9
State Only,Connecticut,Police Protection Total,1947,0.541621392,86264.19723,167956392,CT,9
State Only,Connecticut,Police Officers Only,1278,0.355517278,94755.85915,121097988,CT,9
State Only,Connecticut,Other Police Employees,669,0.186104115,70042.4574,46858404,CT,9
State Only,Connecticut,Fire Protection Total,0,0,0,0,CT,9
State Only,Connecticut,Firefighters Only,0,0,0,0,CT,9
State Only,Connecticut,Other Fire Employees,0,0,0,0,CT,9
State Only,Connecticut,Corrections,5762,1.602887757,77300.25963,445404096,CT,9
State Only,Connecticut,Highways,3189,0.887124099,67602.03951,215582904,CT,9
State Only,Connecticut,Air Transportation,144,0.040058285,80872.16667,11645592,CT,9
State Only,Connecticut,Water Transport and Terminals,0,0,0,0,CT,9
State Only,Connecticut,Public Welfare,5484,1.525553013,76077.7965,417210636,CT,9
State Only,Connecticut,Health,3883,1.080182777,74026.393,287444484,CT,9
State Only,Connecticut,Hospitals,6465,1.798450078,77140.77216,498715092,CT,9
State Only,Connecticut,Social Insurance Administration,694,0.193058678,79129.29683,54915732,CT,9
State Only,Connecticut,Solid Waste Management,45,0.012518214,76926.66667,3461700,CT,9
State Only,Connecticut,Sewerage,0,0,0,0,CT,9
State Only,Connecticut,Parks and Recreation,161,0.044787388,68301.61491,10996560,CT,9
State Only,Connecticut,Housing and Community Development,44,0.012240031,83787,3686628,CT,9
State Only,Connecticut,Natural Resources,712,0.198065964,69139.9382,49227636,CT,9
State Only,Connecticut,Water Supply,0,0,0,0,CT,9
State Only,Connecticut,Electric Power,0,0,0,0,CT,9
State Only,Connecticut,Gas Supply,0,0,0,0,CT,9
State Only,Connecticut,Transit,0,0,0,0,CT,9
State Only,Connecticut,Education Total,21658,6.024877308,70437.45905,1525534488,CT,9
State Only,Connecticut,Elementary & Secondary Education Total,0,0,0,0,CT,9
State Only,Connecticut,Elem & Sec Instructional Employees,0,0,0,0,CT,9
State Only,Connecticut,Elem & Sec Other Employees,0,0,0,0,CT,9
State Only,Connecticut,Higher Education Total,18669,5.193389715,70205.75478,1310671236,CT,9
State Only,Connecticut,Higher Ed Instructional Employees,7170,1.994568764,88054.23264,631348848,CT,9
State Only,Connecticut,Higher Ed Other Employees,11499,3.198820951,59076.6491,679322388,CT,9
State Only,Connecticut,Other Education,2989,0.831487592,71884.66109,214863252,CT,9
State Only,Connecticut,Local Libraries,0,0,0,0,CT,9
State Only,Connecticut,State Liquor Stores,0,0,0,0,CT,9
State Only,Connecticut,All Other and Unallocable,2731,0.759716499,74422.04028,203246592,CT,9
State Only,Delaware,Total,26135,27.92296318,53023.32673,1385764644,DE,10
State Only,Delaware,Financial Administration,816,0.871824678,39297.20588,32066520,DE,10
State Only,Delaware,Other Government Administration,414,0.442322814,53397.04348,22106376,DE,10
State Only,Delaware,Judicial and Legal,1803,1.926347909,55668.13311,100369644,DE,10
State Only,Delaware,Police Protection Total,1065,1.137859414,77697.27324,82747596,DE,10
State Only,Delaware,Police Officers Only,790,0.84404595,84546.51646,66791748,DE,10
State Only,Delaware,Other Police Employees,275,0.293813464,58021.26545,15955848,DE,10
State Only,Delaware,Fire Protection Total,0,0,0,0,DE,10
State Only,Delaware,Firefighters Only,0,0,0,0,DE,10
State Only,Delaware,Other Fire Employees,0,0,0,0,DE,10
State Only,Delaware,Corrections,2878,3.074891449,48896.87283,140725200,DE,10
State Only,Delaware,Highways,1494,1.596208417,43499.91968,64988880,DE,10
State Only,Delaware,Air Transportation,0,0,0,0,DE,10
State Only,Delaware,Water Transport and Terminals,273,0.291676639,49151.2967,13418304,DE,10
State Only,Delaware,Public Welfare,1584,1.692365551,42753.74242,67721928,DE,10
State Only,Delaware,Health,2150,2.29708708,45193.80279,97166676,DE,10
State Only,Delaware,Hospitals,1386,1.480819857,41303.31602,57246396,DE,10
State Only,Delaware,Social Insurance Administration,332,0.354712982,39916.3012,13252212,DE,10
State Only,Delaware,Solid Waste Management,133,0.142098875,46017.74436,6120360,DE,10
State Only,Delaware,Sewerage,0,0,0,0,DE,10
State Only,Delaware,Parks and Recreation,312,0.33334473,30793.15385,9607464,DE,10
State Only,Delaware,Housing and Community Development,0,0,0,0,DE,10
State Only,Delaware,Natural Resources,514,0.549164074,45244.99611,23255928,DE,10
State Only,Delaware,Water Supply,0,0,0,0,DE,10
State Only,Delaware,Electric Power,0,0,0,0,DE,10
State Only,Delaware,Gas Supply,0,0,0,0,DE,10
State Only,Delaware,Transit,880,0.940203084,51304.59545,45148044,DE,10
State Only,Delaware,Education Total,8329,8.898808506,62604.51867,521433036,DE,10
State Only,Delaware,Elementary & Secondary Education Total,0,0,0,0,DE,10
State Only,Delaware,Elem & Sec Instructional Employees,0,0,0,0,DE,10
State Only,Delaware,Elem & Sec Other Employees,0,0,0,0,DE,10
State Only,Delaware,Higher Education Total,7974,8.519522035,62266.24981,496511076,DE,10
State Only,Delaware,Higher Ed Instructional Employees,2434,2.600516257,86995.20296,211746324,DE,10
State Only,Delaware,Higher Ed Other Employees,5540,5.919005778,51401.57978,284764752,DE,10
State Only,Delaware,Other Education,355,0.379286471,70202.70423,24921960,DE,10
State Only,Delaware,Local Libraries,0,0,0,0,DE,10
State Only,Delaware,State Liquor Stores,0,0,0,0,DE,10
State Only,Delaware,All Other and Unallocable,1772,1.893227119,49881.53499,88390080,DE,10
State Only,Florida,Total,176990,8.891481575,49659.89737,8789305236,FL,12
State Only,Florida,Financial Administration,6338,0.318403357,42562.05554,269758308,FL,12
State Only,Florida,Other Government Administration,2088,0.104895268,51621.51724,107785728,FL,12
State Only,Florida,Judicial and Legal,19321,0.970632892,49499.57021,956381196,FL,12
State Only,Florida,Police Protection Total,4272,0.214613307,47365.79775,202346688,FL,12
State Only,Florida,Police Officers Only,2318,0.116449824,52399.1855,121461312,FL,12
State Only,Florida,Other Police Employees,1954,0.098163484,41394.76766,80885376,FL,12
State Only,Florida,Fire Protection Total,0,0,0,0,FL,12
State Only,Florida,Firefighters Only,0,0,0,0,FL,12
State Only,Florida,Other Fire Employees,0,0,0,0,FL,12
State Only,Florida,Corrections,23071,1.159022382,38035.16536,877509300,FL,12
State Only,Florida,Highways,6352,0.319106678,52187.17443,331492932,FL,12
State Only,Florida,Air Transportation,0,0,0,0,FL,12
State Only,Florida,Water Transport and Terminals,0,0,0,0,FL,12
State Only,Florida,Public Welfare,9005,0.452385963,37885.46185,341158584,FL,12
State Only,Florida,Health,17437,0.875986012,40354.13844,703655112,FL,12
State Only,Florida,Hospitals,3895,0.195673884,40875.09628,159208500,FL,12
State Only,Florida,Social Insurance Administration,2499,0.125542756,41990.34814,104933880,FL,12
State Only,Florida,Solid Waste Management,0,0,0,0,FL,12
State Only,Florida,Sewerage,0,0,0,0,FL,12
State Only,Florida,Parks and Recreation,1310,0.065810729,30538.30534,40005180,FL,12
State Only,Florida,Housing and Community Development,0,0,0,0,FL,12
State Only,Florida,Natural Resources,8137,0.408780076,40895.47942,332766516,FL,12
State Only,Florida,Water Supply,0,0,0,0,FL,12
State Only,Florida,Electric Power,0,0,0,0,FL,12
State Only,Florida,Gas Supply,0,0,0,0,FL,12
State Only,Florida,Transit,732,0.036773629,52824.88525,38667816,FL,12
State Only,Florida,Education Total,65888,3.310028465,61468.14066,4050012852,FL,12
State Only,Florida,Elementary & Secondary Education Total,0,0,0,0,FL,12
State Only,Florida,Elem & Sec Instructional Employees,0,0,0,0,FL,12
State Only,Florida,Elem & Sec Other Employees,0,0,0,0,FL,12
State Only,Florida,Higher Education Total,62979,3.163888458,62330.79064,3925530864,FL,12
State Only,Florida,Higher Ed Instructional Employees,21094,1.059703443,94716.60984,1997952168,FL,12
State Only,Florida,Higher Ed Other Employees,41885,2.104185015,46020.74003,1927578696,FL,12
State Only,Florida,Other Education,2909,0.146140007,42792.02063,124481988,FL,12
State Only,Florida,Local Libraries,0,0,0,0,FL,12
State Only,Florida,State Liquor Stores,0,0,0,0,FL,12
State Only,Florida,All Other and Unallocable,6645,0.333826177,41177.22257,273622644,FL,12
State Only,Georgia,Total,131916,13.06469996,46367.78122,6116652228,GA,13
State Only,Georgia,Financial Administration,3219,0.318803399,45429.0699,146236176,GA,13
State Only,Georgia,Other Government Administration,1378,0.136474397,36314.54282,50041440,GA,13
State Only,Georgia,Judicial and Legal,3783,0.374660844,50346.56305,190461048,GA,13
State Only,Georgia,Police Protection Total,2924,0.289587182,41513.08071,121384248,GA,13
State Only,Georgia,Police Officers Only,1728,0.171137705,41144.52778,71097744,GA,13
State Only,Georgia,Other Police Employees,1196,0.118449477,42045.57191,50286504,GA,13
State Only,Georgia,Fire Protection Total,0,0,0,0,GA,13
State Only,Georgia,Firefighters Only,0,0,0,0,GA,13
State Only,Georgia,Other Fire Employees,0,0,0,0,GA,13
State Only,Georgia,Corrections,20407,2.021068953,26510.65497,541002936,GA,13
State Only,Georgia,Highways,4892,0.484494013,35021.61243,171325728,GA,13
State Only,Georgia,Air Transportation,2,0.000198076,50556,101112,GA,13
State Only,Georgia,Water Transport and Terminals,983,0.097354377,75235.3001,73956300,GA,13
State Only,Georgia,Public Welfare,7036,0.696831536,40006.06936,281482704,GA,13
State Only,Georgia,Health,3718,0.368223373,53154.27111,197627580,GA,13
State Only,Georgia,Hospitals,7793,0.77180332,47509.79084,370243800,GA,13
State Only,Georgia,Social Insurance Administration,1740,0.172326162,30758.93793,53520552,GA,13
State Only,Georgia,Solid Waste Management,0,0,0,0,GA,13
State Only,Georgia,Sewerage,0,0,0,0,GA,13
State Only,Georgia,Parks and Recreation,3397,0.336432167,28219.25581,95860812,GA,13
State Only,Georgia,Housing and Community Development,0,0,0,0,GA,13
State Only,Georgia,Natural Resources,4845,0.479839226,39941.64706,193517280,GA,13
State Only,Georgia,Water Supply,0,0,0,0,GA,13
State Only,Georgia,Electric Power,0,0,0,0,GA,13
State Only,Georgia,Gas Supply,0,0,0,0,GA,13
State Only,Georgia,Transit,0,0,0,0,GA,13
State Only,Georgia,Education Total,63453,6.284259728,55637.50896,3530366856,GA,13
State Only,Georgia,Elementary & Secondary Education Total,0,0,0,0,GA,13
State Only,Georgia,Elem & Sec Instructional Employees,0,0,0,0,GA,13
State Only,Georgia,Elem & Sec Other Employees,0,0,0,0,GA,13
State Only,Georgia,Higher Education Total,60931,6.034485832,55657.63188,3391275168,GA,13
State Only,Georgia,Higher Ed Instructional Employees,20275,2.007995934,72864.83512,1477334532,GA,13
State Only,Georgia,Higher Ed Other Employees,40656,4.026489898,47076.46192,1913940636,GA,13
State Only,Georgia,Other Education,2522,0.249773896,55151.34338,139091688,GA,13
State Only,Georgia,Local Libraries,0,0,0,0,GA,13
State Only,Georgia,State Liquor Stores,0,0,0,0,GA,13
State Only,Georgia,All Other and Unallocable,2346,0.232343204,42422.70077,99523656,GA,13
State Only,Hawaii,Total,58409,41.12565543,52609.06936,3072843132,HI,15
